url	primary language	files	sloc
https://github.com/dc-js/dc.js	JavaScript	198	61766
https://github.com/travis-ci/travis-ci		4	121
https://github.com/joshuaclayton/blueprint-css	CSS	44	2717
https://github.com/erlang/otp	Erlang	6957	2298879
https://github.com/ShareX/ShareX	C#	815	118141
https://github.com/Moya/Moya	Swift	85	6050
https://github.com/apple/swift-package-manager	Swift	538	40761
https://github.com/guard/guard	Ruby	131	9642
https://github.com/clips/pattern	Python	256	94587
https://github.com/jscs-dev/node-jscs	JavaScript	520	40057
https://github.com/NancyFx/Nancy	C#	1125	75162
https://github.com/aframevr/aframe	JavaScript	382	126734
https://github.com/apex/apex	Go	194	8014
https://github.com/fivethirtyeight/data	Jupyter Notebook	89	2546
https://github.com/matplotlib/matplotlib	Python	1394	292392
https://github.com/alexwolfe/Buttons	JavaScript	136	24974
https://github.com/numenta/nupic	Python	732	169796
https://github.com/epochjs/epoch	HTML	78	13750
https://github.com/chef/chef	Ruby	1933	191055
https://github.com/WebpageFX/emoji-cheat-sheet.com	HTML	9	1715
https://github.com/vega/vega	HTML	466	355532
https://github.com/johndyer/mediaelement	JavaScript	201	40561
https://github.com/componentjs/component	JavaScript	30	828
https://github.com/zulip/zulip	Python	1866	208230
https://github.com/github/linguist	Ruby	637	172681
https://github.com/puppetlabs/puppet	Ruby	2532	264120
https://github.com/JohnLangford/vowpal_wabbit	PostScript	817	97546
https://github.com/NYTimes/objective-c-style-guide		10	2733
https://github.com/thinkaurelius/titan	Java	1602	210767
https://github.com/BabylonJS/Babylon.js	TypeScript	1095	652629
https://github.com/docker/dockercraft	Lua	4729	833079
https://github.com/keithwhor/nodal	JavaScript	100	14910
https://github.com/radare/radare2	C	2014	498314
https://github.com/derbyjs/derby	JavaScript	32	2995
https://github.com/densitydesign/raw	JavaScript	39	5779
https://github.com/MonoGame/MonoGame	C#	1535	153588
https://github.com/sharelatex/sharelatex	CoffeeScript	15	1085
https://github.com/Masterminds/glide	Go	192	30505
https://github.com/basscss/basscss	CSS	75	4648
https://github.com/presidentbeef/brakeman	Ruby	625	49921
https://github.com/coolwanglu/vim.js	C	1674	462697
https://github.com/erikflowers/weather-icons	CSS	174	37451
https://github.com/robbiehanson/CocoaHTTPServer	Objective-C	143	15320
https://github.com/happyworm/jPlayer	JavaScript	119	38776
https://github.com/JamesNK/Newtonsoft.Json	C#	706	393562
https://github.com/FormidableLabs/victory	JavaScript	16	991
https://github.com/sjwhitworth/golearn	Go	137	12754
https://github.com/OpenRA/OpenRA	C#	1732	337354
https://github.com/atlemo/SubtlePatterns	HTML	3	95
https://github.com/benpickles/peity	HTML	21	1842
https://github.com/sorich87/bootstrap-tour	CoffeeScript	42	8564
https://github.com/primer/octicons	JavaScript	13	1804
https://github.com/cazala/synaptic	JavaScript	21	7192
https://github.com/mopidy/mopidy	Python	269	36123
https://github.com/elm-lang/elm-compiler	Haskell	132	16275
https://github.com/sympy/sympy	Python	1353	364312
https://github.com/deployphp/deployer	PHP	160	6990
https://github.com/CodeboxIDE/codebox	JavaScript	88	4920
https://github.com/hanami/hanami	Ruby	236	10227
https://github.com/CSSLint/csslint	JavaScript	126	42415
https://github.com/neo4j/neo4j	Java	8192	765838
https://github.com/newsapps/beeswithmachineguns	Python	8	1287
https://github.com/overtone/overtone	Clojure	282	30141
https://github.com/WhitestormJS/whitestorm.js	JavaScript	261	80534
https://github.com/gka/chroma.js	CoffeeScript	108	5114
https://github.com/guardian/frontend	HTML	3688	360451
https://github.com/pypa/pip	Python	414	87009
https://github.com/slap-editor/slap	JavaScript	28	1407
https://github.com/graphite-project/graphite-web	JavaScript	200	73779
https://github.com/nim-lang/Nim	Nim	1910	232277
https://github.com/sass/libsass	C++	167	31701
https://github.com/wbond/package_control	Python	154	25665
https://github.com/jspahrsummers/libextobjc	Objective-C	54	2958
https://github.com/arangodb/arangodb	C++	48483	7472906
