url	primary language	stars	commits	merges	avg message	rat issue refs
https://github.com/etsy/statsd	JavaScript	11809	934	290	77.0942184154	0.281584582441
https://github.com/Mashape/kong	Lua	11524	3469	786	98.1902565581	0.269241856443
https://github.com/ionic-team/ionicons	HTML	11397	131	9	34.6106870229	0.12213740458
https://github.com/textmate/textmate	Objective-C++	11368	4622	4	142.520986586	0.0592816962354
https://github.com/adobe-fonts/source-code-pro	Python	11291	326	37	73.9233128834	0.101226993865
https://github.com/elixir-lang/elixir	Elixir	10791	13068	1914	68.4339608203	0.287037037037
https://github.com/apache/incubator-mxnet	Python	10772	5825	1349	84.1035193133	0.459399141631
https://github.com/cocos2d/cocos2d-x	C++	10700	36385	12604	80.5883193624	0.418908891027
https://github.com/Netflix/Hystrix	Java	10699	2080	628	86.7168269231	0.309134615385
https://github.com/substack/stream-handbook	JavaScript	10554	97	15	39.3505154639	0.103092783505
https://github.com/apache/incubator-predictionio	Scala	10350	4319	579	49.7460060199	0.0555684186154
https://github.com/sass/sass	Ruby	10310	6428	1367	73.9425948973	0.0875855631612
https://github.com/linnovate/mean	JavaScript	10255	1884	470	55.5806794055	0.213906581741
https://github.com/GoogleChrome/lighthouse	JavaScript	10150	2178	339	76.1694214876	0.582185491276
https://github.com/alcatraz/Alcatraz	Objective-C	10033	762	120	50.6719160105	0.162729658793
https://github.com/Carthage/Carthage	Swift	9964	3461	870	69.0878358856	0.222190118463
https://github.com/aurelia/framework	JavaScript	9939	584	115	71.3184931507	0.150684931507
https://github.com/buunguyen/octotree	JavaScript	9818	490	92	46.187755102	0.234693877551
https://github.com/composer/composer	PHP	9799	7520	1755	69.0357712766	0.300265957447
https://github.com/gionkunz/chartist-js	JavaScript	9774	841	100	58.9453032105	0.219976218787
https://github.com/capistrano/capistrano	Ruby	9766	1532	530	107.552872063	0.396214099217
https://github.com/LightTable/LightTable	Clojure	9730	1232	289	96.4212662338	0.268668831169
https://github.com/addyosmani/backbone-fundamentals	JavaScript	9730	1351	422	74.074019245	0.39526276832
https://github.com/facebook/osquery	C++	9710	3851	1063	80.9914307972	0.574915606336
https://github.com/CocoaPods/CocoaPods	Ruby	9684	6956	1045	78.8637147786	0.198964922369
https://github.com/playframework/playframework	Scala	9634	8426	2727	100.798124852	0.467481604557
https://github.com/sinatra/sinatra	Ruby	9531	3824	739	74.4657426778	0.222280334728
https://github.com/rapid7/metasploit-framework	Ruby	9391	43263	7792	89.8140212191	0.178073642605
https://github.com/sindresorhus/quick-look-plugins		9391	40	5	58.85	0.525
https://github.com/google/fonts	Protocol Buffer	9357	1129	64	58.2816651904	0.490699734278
https://github.com/pouchdb/pouchdb	JavaScript	9279	4208	283	83.6682509506	0.74786121673
https://github.com/hashicorp/terraform	Go	9187	20176	4237	128.040444092	0.324296193497
https://github.com/JuliaLang/julia	Julia	9034	38085	9624	92.120178548	0.358697649993
https://github.com/gabrielecirulli/2048	CSS	8981	176	34	44.2556818182	0.1875
https://github.com/godotengine/godot	C++	8962	8489	3016	93.7151607963	0.461302862528
https://github.com/fabric/fabric	Python	8928	3759	860	60.905027933	0.21308858739
https://github.com/jenkinsci/jenkins	Java	8901	25418	3153	151.614131718	0.114918561649
https://github.com/crystal-lang/crystal	Crystal	8783	9824	1016	62.5406148208	0.229336319218
https://github.com/scala/scala	Scala	8733	27456	4475	168.742460664	0.225888694639
https://github.com/revel/revel	Go	8657	1401	321	74.3832976445	0.242683797288
https://github.com/koalaman/shellcheck	Haskell	8557	887	70	54.7328072153	0.0800450958286
https://github.com/Homebrew/brew	Ruby	8422	13789	1386	110.753281601	0.306983827689
https://github.com/dmlc/xgboost	C++	8387	3117	628	65.7000320821	0.244786653834
https://github.com/knockout/knockout	JavaScript	8383	1559	321	91.8742783836	0.250801796023
https://github.com/stylus/stylus	JavaScript	8383	3889	530	43.2612496786	0.197222936488
https://github.com/eslint/eslint	JavaScript	8364	5982	2109	102.959378134	0.816449348044
https://github.com/saltstack/salt	Python	7989	84818	26432	84.9646773091	0.348487349383
https://github.com/jordansissel/fpm	Ruby	7953	2039	443	86.53212359	0.279058361942
https://github.com/bbatsov/rubocop	Ruby	7949	6226	1409	130.263090267	0.436235142949
https://github.com/dotnet/roslyn	C#	7946	28792	8820	117.085683523	0.313350930814
https://github.com/elastic/logstash	Ruby	7858	8233	1201	94.321996842	0.34835418438
https://github.com/jhipster/generator-jhipster	JavaScript	7822	11573	2963	66.5332238832	0.312710619545
https://github.com/harthur/brain	JavaScript	7795	150	16	49.0866666667	0.113333333333
https://github.com/karpathy/convnetjs	JavaScript	7762	89	15	90.2359550562	0.157303370787
https://github.com/PowerShell/PowerShell	C#	7599	5174	926	119.852145342	0.298608426749
https://github.com/mishoo/UglifyJS	JavaScript	7588	540	70	92.1574074074	0.288888888889
https://github.com/mrmrs/colors	CSS	7528	168	24	48.4642857143	0.119047619048
https://github.com/realm/SwiftLint	Swift	7447	3207	797	72.4530714063	0.287496102276
https://github.com/jacomyal/sigma.js	JavaScript	7420	814	130	68.6486486486	0.12285012285
https://github.com/redox-os/redox	Shell	7372	1329	129	40.3634311512	0.0759969902182
https://github.com/jshint/jshint	JavaScript	7362	1958	338	133.344228805	0.319203268641
https://github.com/connors/photon	CSS	7328	261	20	25.9961685824	0.0689655172414
https://github.com/mozilla/BrowserQuest	JavaScript	7265	153	5	51.6928104575	0.0
https://github.com/CRYTEK/CRYENGINE	C++	7252	2248	169	410.327402135	0.00711743772242
https://github.com/cakephp/cakephp	PHP	7219	32858	5978	107.722715929	0.290827195812
https://github.com/facebook/infer	OCaml	7082	3475	0	258.462733813	0.0155395683453
https://github.com/Compass/compass	CSS	6932	3536	368	69.4988687783	0.0786199095023
https://github.com/howdyai/botkit	JavaScript	6836	1488	353	53.7036290323	0.165994623656
https://github.com/twitter/twemoji	JavaScript	6821	214	49	93.5514018692	0.266355140187
https://github.com/Theano/Theano	Python	6793	27098	4270	59.565835117	0.133921322607
https://github.com/Moya/Moya	Swift	6736	2165	567	60.3191685912	0.254965357968
https://github.com/Quick/Quick	Swift	6732	1351	333	84.6350851221	0.267209474463
https://github.com/mozilla/metrics-graphics	JavaScript	6702	1436	197	47.1650417827	0.41643454039
https://github.com/xmartlabs/Eureka	Swift	6676	597	220	70.2964824121	0.489112227806
https://github.com/clojure/clojure	Java	6521	3065	40	75.0150081566	0.0730831973899
https://github.com/zeroclipboard/zeroclipboard	JavaScript	6262	663	102	64.1010558069	0.316742081448
https://github.com/aframevr/aframe	JavaScript	6208	3576	820	84.2323825503	0.43903803132
https://github.com/ShareX/ShareX	C#	6197	3846	415	55.9555382215	0.172386895476
https://github.com/charliesome/better_errors	Ruby	6186	485	89	62.1649484536	0.263917525773
https://github.com/libgit2/libgit2	C	6153	10400	2416	149.824326923	0.233653846154
https://github.com/beetbox/beets	Python	6082	7838	951	82.8137279918	0.261163562133
https://github.com/travis-ci/travis-ci		5963	3611	411	55.1326502354	0.0479091664359
https://github.com/SFTtech/openage	C++	5948	2719	442	70.1636631114	0.142699521883
https://github.com/middleman/middleman	Ruby	5945	3192	549	59.6926691729	0.247493734336
https://github.com/apex/apex	Go	5912	702	104	64.8404558405	0.408831908832
https://github.com/fivethirtyeight/data	Jupyter Notebook	5885	712	65	35.6924157303	0.060393258427
https://github.com/erlang/otp	Erlang	5878	26155	8891	158.273561461	0.00665264767731
https://github.com/primer/primer-css	CSS	5856	882	182	61.3990929705	0.162131519274
https://github.com/dc-js/dc.js	JavaScript	5787	2593	400	59.9120709603	0.246432703432
https://github.com/matplotlib/matplotlib	Python	5736	22453	4591	101.264329934	0.248296441455
https://github.com/apple/swift-package-manager	Swift	5695	3317	1004	110.741031052	0.294543261984
https://github.com/clips/pattern	Python	5608	967	57	57.7125129266	0.028955532575
https://github.com/lerna/lerna	JavaScript	5514	624	58	111.326923077	0.543269230769
https://github.com/NancyFx/Nancy	C#	5503	5405	1195	75.8399629972	0.224051803885
https://github.com/joshuaclayton/blueprint-css	CSS	5492	473	2	67.3636363636	0.0295983086681
https://github.com/guard/guard	Ruby	5403	2321	373	62.8276604912	0.16156828953
https://github.com/BabylonJS/Babylon.js	TypeScript	5350	7775	2426	68.7728617363	0.246816720257
https://github.com/WebpageFX/emoji-cheat-sheet.com	HTML	5247	673	242	56.338781575	0.358098068351
https://github.com/mediaelement/mediaelement	JavaScript	5222	4570	946	60.5175054705	0.115754923414
https://github.com/donnemartin/gitsome	Python	5218	981	40	41.8685015291	0.0682976554536
https://github.com/vega/vega	HTML	5197	2028	273	46.2440828402	0.145463510848
https://github.com/radare/radare2	C	5180	15517	84	65.5582909067	0.172327125089
https://github.com/Masterminds/glide	Go	5157	1049	204	70.9761677788	0.30409914204
https://github.com/numenta/nupic	Python	5149	6564	1901	99.7064290067	0.223644119439
https://github.com/zulip/zulip	Python	5119	20240	1	152.987796443	0.0729249011858
https://github.com/alexwolfe/Buttons	JavaScript	5070	271	31	38.0	0.107011070111
https://github.com/micropython/micropython	C	5043	8199	522	121.923161361	0.0819612147823
https://github.com/github/linguist	Ruby	4960	5610	1587	70.3909090909	0.275935828877
https://github.com/chef/chef	Ruby	4950	19608	4027	85.1149020808	0.135811913505
https://github.com/epochjs/epoch	HTML	4863	492	75	64.5853658537	0.426829268293
https://github.com/JohnLangford/vowpal_wabbit	C++	4785	7250	1740	54.9475862069	0.117655172414
https://github.com/FormidableLabs/victory	JavaScript	4763	536	133	50.0410447761	0.223880597015
https://github.com/facebook/react-vr	JavaScript	4701	172	0	369.0	0.0523255813953
https://github.com/slap-editor/slap	JavaScript	4645	756	79	44.5873015873	0.12037037037
https://github.com/Miserlou/Zappa	Python	4622	2144	566	57.0564365672	0.225746268657
https://github.com/componentjs/component	JavaScript	4610	764	98	42.3272251309	0.166230366492
https://github.com/densitydesign/raw	JavaScript	4603	357	37	29.8067226891	0.0672268907563
https://github.com/puppetlabs/puppet	Ruby	4602	25739	7067	254.439411011	0.382532343914
https://github.com/deployphp/deployer	PHP	4589	1504	312	50.5611702128	0.233377659574
https://github.com/cazala/synaptic	JavaScript	4544	260	38	45.7192307692	0.161538461538
https://github.com/be5invis/Iosevka	JavaScript	4515	1031	81	32.0533462658	0.0368574199806
https://github.com/thinkaurelius/titan	Java	4487	4434	510	161.056833559	0.0994587280108
https://github.com/docker/dockercraft	Lua	4481	198	36	76.095959596	0.20202020202
https://github.com/MonoGame/MonoGame	C#	4476	11520	3682	91.1677951389	0.249913194444
https://github.com/NYTimes/objective-c-style-guide		4460	263	72	56.2775665399	0.281368821293
https://github.com/gka/chroma.js	CoffeeScript	4441	340	27	39.2088235294	0.105882352941
https://github.com/sharelatex/sharelatex	CoffeeScript	4437	250	35	42.788	0.104
https://github.com/chaijs/chai	JavaScript	4421	1430	348	66.2265734266	0.299300699301
https://github.com/keithwhor/nodal	JavaScript	4417	771	108	46.6848249027	0.10635538262
https://github.com/OpenRA/OpenRA	C#	4401	23907	4802	69.1131467771	0.242857740411
https://github.com/sjwhitworth/golearn	Go	4392	399	100	61.3182957393	0.230576441103
https://github.com/basscss/basscss	CSS	4351	985	80	24.2822335025	0.0456852791878
https://github.com/presidentbeef/brakeman	Ruby	4333	2892	665	68.239626556	0.22510373444
