url	primary language	stars	forks
https://github.com/neo4j/neo4j	Java	3621	1088
https://github.com/newsapps/beeswithmachineguns	Python	3611	401
https://github.com/overtone/overtone	Clojure	3604	344
https://github.com/WhitestormJS/whitestorm.js	JavaScript	3590	178
https://github.com/gka/chroma.js	CoffeeScript	3554	283
https://github.com/guardian/frontend	HTML	3534	378
https://github.com/pypa/pip	Python	3466	1257
https://github.com/slap-editor/slap	JavaScript	3464	130
https://github.com/graphite-project/graphite-web	JavaScript	3455	1001
https://github.com/nim-lang/Nim	Nim	3455	475
https://github.com/sass/libsass	C++	3433	364
https://github.com/wbond/package_control	Python	3428	553
https://github.com/jspahrsummers/libextobjc	Objective-C	3426	325
https://github.com/arangodb/arangodb	C++	3421	285
https://github.com/manuelkiessling/nodebeginner.org	HTML	3400	1538
https://github.com/purescript/purescript	Haskell	3395	277
https://github.com/ryanb/ruby-warrior	Ruby	3375	817
https://github.com/doublespeakgames/adarkroom	JavaScript	3356	895
https://github.com/spine/spine	JavaScript	3287	431
https://github.com/nathansmith/960-Grid-System	CSS	3278	535
https://github.com/scottschiller/SoundManager2	JavaScript	3270	629
https://github.com/Soundnode/soundnode-app	JavaScript	3256	423
https://github.com/AlexNisnevich/untrusted	JavaScript	3233	614
https://github.com/audiokit/AudioKit	C++	3229	493
https://github.com/mozilla/Fira	CSS	3228	216
https://github.com/snowplow/snowplow	Scala	3223	740
https://github.com/cisco/ChezScheme	Scheme	3207	534
https://github.com/Miserlou/Zappa	Python	3201	293
https://github.com/sparkle-project/Sparkle	Objective-C	3157	619
https://github.com/defunkt/dotjs	Ruby	3146	365
https://github.com/Khan/tota11y	JavaScript	3140	182
https://github.com/skywinder/github-changelog-generator	Ruby	3139	272
https://github.com/exercism/exercism.io	Ruby	3109	840
https://github.com/twitter-archive/flockdb	Scala	3079	254
https://github.com/mozbrick/brick	JavaScript	3070	233
https://github.com/Ranks/emojione	HTML	3059	366
https://github.com/AliSoftware/OHHTTPStubs	Objective-C	2997	335
https://github.com/padrino/padrino-framework	Ruby	2991	472
https://github.com/rtyley/bfg-repo-cleaner	Scala	2986	151
https://github.com/wellcaffeinated/PhysicsJS	JavaScript	2940	380
https://github.com/reactiveui/ReactiveUI	C#	2927	600
https://github.com/johnmyleswhite/ML_for_Hackers	R	2898	1971
https://github.com/apache/couchdb	JavaScript	2892	652
https://github.com/orientechnologies/orientdb	Java	2889	625
